"","p0q0"
"1",0.31423785715707864
"2",0.31423785715707864
"3",0.31423785715707864
"4",0.2140365736421897
"5",0.31423785715707864
"6",0.2158024768594666
"7",0.2140365736421897
"8",0.21344272974114153
"9",0.2620139221311444
"10",0.21344272974114153
"11",0.31161090594499413
"12",0.21344272974114153
"13",0.24604084224794784
"14",0.31423785715707864
"15",0.23299546914376584
"16",0.21344272974114153
"17",0.2158024768594666
"18",0.22895928318201036
"19",0.31423785715707864
"20",0.22188514164570836
"21",0.2158024768594666
"22",0.2140365736421897
"23",0.31423785715707864
"24",0.31562587766799755
"25",0.3168055499713688
"26",0.3159092361387564
"27",0.3159092361387564
"28",0.2730183482103331
"29",0.3159092361387564
"30",0.22764385813115892
"31",0.28207864613478933
"32",0.21960717591092382
"33",0.3152938882085741
"34",0.28207864613478933
"35",0.3159092361387564
"36",0.24823920028580354
"37",0.3152938882085741
"38",0.3159092361387564
"39",0.3152938882085741
"40",0.25858639455946697
"41",0.2323554292395738
"42",0.3126669369964896
"43",0.3168055499713688
"44",0.3165655341501206
"45",0.2573787017330221
"46",0.2957240310941904
"47",0.3180771959129153
"48",0.3204686246299329
"49",0.32027280221489135
"50",0.31663333558337253
"51",0.31663333558337253
"52",0.2869337240335748
"53",0.3176467569425586
"54",0.2608354070976341
"55",0.2934047199072121
"56",0.2429655418659695
"57",0.3192317571842355
"58",0.28784873907398134
"59",0.32126866985488906
"60",0.271928689230615
"61",0.3203899097414649
"62",0.3192317571842355
"63",0.32150434387055427
"64",0.271881550264455
"65",0.26877985972404983
"66",0.314006384371288
"67",0.31911464965766184
"68",0.3192317571842355
"69",0.2685260318964226
"70",0.3027369245018091
"71",0.32110318081648204
"72",0.32048545155300984
"73",0.31619020204118653
"74",0.3152938882085741
"75",0.3152938882085741
"76",0.25062610728800094
"77",0.3152938882085741
"78",0.21477015475022274
"79",0.2675845243998785
"80",0.21862183868224283
"81",0.3152938882085741
"82",0.2675845243998785
"83",0.3152938882085741
"84",0.2335445482220635
"85",0.3152938882085741
"86",0.3152938882085741
"87",0.3152938882085741
"88",0.23758073418381895
"89",0.22321256665478956
"90",0.3126669369964896
"91",0.31619020204118653
"92",0.3152938882085741
"93",0.2335445482220635
"94",0.278257400492748
"95",0.31619020204118653
"96",0.3198532766997506
"97",0.20959849854926083
"98",0.20843708290131113
"99",0.21414300702421635
"100",0.20726810537264984
"101",0.21140124020104448
"102",0.20598624588503814
"103",0.20158255031543812
"104",0.20018641368921514
"105",0.20843708290131113
"106",0.20598624588503814
"107",0.20843708290131113
"108",0.20726810537264984
"109",0.20843708290131113
"110",0.20726810537264984
"111",0.20843708290131113
