"","p0q0"
"1",0.2484327256679535
"2",0.23901155591011047
"3",0.247420534491539
"4",0.2083829641342163
"5",0.23944851756095886
"6",0.1981748789548874
"7",0.21085253357887268
"8",0.20521385967731476
"9",0.22891709208488464
"10",0.20619013905525208
"11",0.2334004044532776
"12",0.2051912099123001
"13",0.2261403650045395
"14",0.23865890502929688
"15",0.22055643796920776
"16",0.20641304552555084
"17",0.19858622550964355
"18",0.21805790066719055
"19",0.24751079082489014
"20",0.21036787331104279
"21",0.20494790375232697
"22",0.21028172969818115
"23",0.24785129725933075
"24",0.25842586159706116
"25",0.2691890001296997
"26",0.26690080761909485
"27",0.2741336524486542
"28",0.24883253872394562
"29",0.2699369192123413
"30",0.23596343398094177
"31",0.2503293454647064
"32",0.23838865756988525
"33",0.2742157280445099
"34",0.24968485534191132
"35",0.2638780474662781
"36",0.23862552642822266
"37",0.2695387303829193
"38",0.2744230031967163
"39",0.26763588190078735
"40",0.2395087331533432
"41",0.2400781363248825
"42",0.26498040556907654
"43",0.2700091302394867
"44",0.28230589628219604
"45",0.2468736171722412
"46",0.2756401300430298
"47",0.28666695952415466
"48",0.2816474139690399
"49",0.2750621736049652
"50",0.26364126801490784
"51",0.264723002910614
"52",0.2530287504196167
"53",0.2706036865711212
"54",0.2305786907672882
"55",0.25907039642333984
"56",0.22853590548038483
"57",0.2801414132118225
"58",0.25165876746177673
"59",0.2768027186393738
"60",0.24401214718818665
"61",0.29078441858291626
"62",0.2773626148700714
"63",0.31032687425613403
"64",0.24314114451408386
"65",0.24602751433849335
"66",0.2611822187900543
"67",0.28266212344169617
"68",0.2827037572860718
"69",0.24805767834186554
"70",0.3329666554927826
"71",0.29382649064064026
"72",0.2755565345287323
"73",0.25375521183013916
"74",0.2419847548007965
"75",0.24367216229438782
"76",0.23165354132652283
"77",0.24228467047214508
"78",0.22643722593784332
"79",0.23362700641155243
"80",0.21868576109409332
"81",0.24055765569210052
"82",0.2326124906539917
"83",0.24572120606899261
"84",0.22825688123703003
"85",0.24949751794338226
"86",0.24940656125545502
"87",0.24605104327201843
"88",0.22941797971725464
"89",0.2173825055360794
"90",0.23932059109210968
"91",0.25381311774253845
"92",0.23554551601409912
"93",0.2278636246919632
"94",0.2315683662891388
"95",0.24991685152053833
"96",0.26266324520111084
"97",0.2246888130903244
"98",0.21946275234222412
"99",0.230523020029068
"100",0.20906081795692444
"101",0.22572261095046997
"102",0.20170260965824127
"103",0.19756975769996643
"104",0.1932770013809204
"105",0.21878847479820251
"106",0.1994244009256363
"107",0.21998126804828644
"108",0.20493914186954498
"109",0.21879497170448303
"110",0.21615560352802277
"111",0.21538692712783813
"112",0.21195252239704132
"113",0.19611258804798126
"114",0.21222981810569763
"115",0.22579294443130493
"116",0.20259243249893188
"117",0.18669143319129944
"118",0.1972205936908722
"119",0.21575875580310822
"120",0.22360481321811676
"121",0.17645220458507538
"122",0.15793685615062714
"123",0.1825370490550995
"124",0.14794909954071045
"125",0.169381782412529
"126",0.14507167041301727
"127",0.1372309774160385
"128",0.13237570226192474
"129",0.16962109506130219
"130",0.14740487933158875
"131",0.15792952477931976
"132",0.14776358008384705
"133",0.15810321271419525
"134",0.14785417914390564
"135",0.14985041320323944
"136",0.157877579331398
"137",0.13980741798877716
"138",0.1568078249692917
"139",0.15135280787944794
"140",0.1470940113067627
"141",0.1370227038860321
"142",0.13149616122245789
"143",0.1532173454761505
"144",0.1562609225511551
"145",0.12057465314865112
"146",0.11355201154947281
"147",0.14458513259887695
"148",0.1106170192360878
"149",0.12842237949371338
"150",0.10112529993057251
"151",0.0999860167503357
"152",0.09591260552406311
"153",0.1210777536034584
"154",0.1083870604634285
"155",0.11402668803930283
"156",0.10410033166408539
"157",0.11723344027996063
"158",0.10989763587713242
"159",0.11832835525274277
"160",0.12150231003761292
"161",0.09691730886697769
"162",0.1204715222120285
"163",0.12002922594547272
"164",0.11149142682552338
"165",0.0984366163611412
"166",0.09611376374959946
"167",0.11771418154239655
"168",0.12281421571969986
"169",0.046406105160713196
"170",0.046406105160713196
"171",0.046406105160713196
"172",0.046406105160713196
"173",0.046406105160713196
"174",0.046406105160713196
"175",0.046406105160713196
"176",0.046406105160713196
"177",0.046406105160713196
"178",0.046406105160713196
"179",0.046406105160713196
"180",0.046406105160713196
"181",0.046406105160713196
"182",0.046406105160713196
"183",0.046406105160713196
"184",0.046406105160713196
"185",0.046406105160713196
"186",0.046406105160713196
"187",0.046406105160713196
"188",0.046406105160713196
"189",0.046406105160713196
"190",0.046406105160713196
"191",0.046406105160713196
"192",0.046406105160713196
"193",0.27464279532432556
"194",0.2631671130657196
"195",0.2466699779033661
"196",0.2479017823934555
"197",0.25949200987815857
"198",0.23642286658287048
"199",0.24831975996494293
"200",0.2289569228887558
"201",0.2717224657535553
"202",0.23535676300525665
"203",0.2771855890750885
