"","p0q0"
"1",0.2341095507144928
"2",0.232474684715271
"3",0.23735255002975464
"4",0.20710372924804688
"5",0.23220203816890717
"6",0.19280625879764557
"7",0.21375831961631775
"8",0.1948157101869583
"9",0.22855325043201447
"10",0.19611048698425293
"11",0.22927486896514893
"12",0.20099052786827087
"13",0.22175678610801697
"14",0.22828899323940277
"15",0.22343067824840546
"16",0.201365664601326
"17",0.19161124527454376
"18",0.2124280482530594
"19",0.23248837888240814
"20",0.21294242143630981
"21",0.19411885738372803
"22",0.20807987451553345
"23",0.23311100900173187
"24",0.24732977151870728
"25",0.2742159962654114
"26",0.27110955119132996
"27",0.2748628854751587
"28",0.2551306486129761
"29",0.27152493596076965
"30",0.23332685232162476
"31",0.2588086724281311
"32",0.23331908881664276
"33",0.27489688992500305
"34",0.2579050660133362
"35",0.264192134141922
"36",0.2412617802619934
"37",0.26500073075294495
"38",0.2669908106327057
"39",0.2758130133152008
"40",0.24325145781040192
"41",0.23995216190814972
"42",0.26434510946273804
"43",0.271931916475296
"44",0.27392998337745667
"45",0.24237419664859772
"46",0.27964481711387634
"47",0.2926958501338959
"48",0.2865411639213562
"49",0.28426817059516907
"50",0.2649555504322052
"51",0.26779818534851074
"52",0.25349870324134827
"53",0.27557873725891113
"54",0.23422330617904663
"55",0.2575766146183014
"56",0.23416849970817566
"57",0.2976488471031189
"58",0.248757004737854
"59",0.28531086444854736
"60",0.24295268952846527
"61",0.2768440246582031
"62",0.2954901456832886
"63",0.30769193172454834
"64",0.24328704178333282
"65",0.24167868494987488
"66",0.2580036520957947
"67",0.2916397154331207
"68",0.2786466181278229
"69",0.24341434240341187
"70",0.3106948435306549
"71",0.30542296171188354
"72",0.28514042496681213
"73",0.2583327293395996
"74",0.24862085282802582
"75",0.25402170419692993
"76",0.23328056931495667
"77",0.2541453242301941
"78",0.22312341630458832
"79",0.23319697380065918
"80",0.21584656834602356
"81",0.2503615915775299
"82",0.22556889057159424
"83",0.2565114200115204
"84",0.22535359859466553
"85",0.24468326568603516
"86",0.25731244683265686
"87",0.24503517150878906
"88",0.23104478418827057
"89",0.22099854052066803
"90",0.23693262040615082
"91",0.2637208104133606
"92",0.23070243000984192
"93",0.2233109176158905
"94",0.22726234793663025
"95",0.25412851572036743
"96",0.2678188681602478
"97",0.22012516856193542
"98",0.2209673672914505
"99",0.2215888798236847
"100",0.2097482532262802
"101",0.22317904233932495
"102",0.19993899762630463
"103",0.19421148300170898
"104",0.18426333367824554
"105",0.2153954952955246
"106",0.1971074342727661
"107",0.22078220546245575
"108",0.2070097029209137
"109",0.2198808640241623
"110",0.21593454480171204
"111",0.2145080715417862
"112",0.208164781332016
"113",0.18598800897598267
"114",0.2136213183403015
"115",0.21454188227653503
"116",0.20200411975383759
"117",0.18590867519378662
"118",0.192405104637146
"119",0.21551409363746643
"120",0.21672749519348145
"121",0.1654219627380371
"122",0.1543889343738556
"123",0.1686585694551468
"124",0.1461566686630249
"125",0.15908282995224
"126",0.14175105094909668
"127",0.13503724336624146
"128",0.13079680502414703
"129",0.15960174798965454
"130",0.14436154067516327
"131",0.15434573590755463
"132",0.14331936836242676
"133",0.1554238200187683
"134",0.14591749012470245
"135",0.14800813794136047
"136",0.15059341490268707
"137",0.13795456290245056
"138",0.1551750898361206
"139",0.14734670519828796
"140",0.1445065438747406
"141",0.13489168882369995
"142",0.1327926218509674
"143",0.14931654930114746
"144",0.1499333530664444
"145",0.12278580665588379
"146",0.11382851004600525
"147",0.1398915946483612
"148",0.10821332782506943
"149",0.12998464703559875
"150",0.09848824888467789
"151",0.09907736629247665
"152",0.09108046442270279
"153",0.12164032459259033
"154",0.10858993977308273
"155",0.11386746913194656
"156",0.10150838643312454
"157",0.11994180828332901
"158",0.11115153878927231
"159",0.12402009218931198
"160",0.1250430941581726
"161",0.09447341412305832
"162",0.11951584368944168
"163",0.11905394494533539
"164",0.11055269092321396
"165",0.09704111516475677
"166",0.08866484463214874
"167",0.11585536599159241
"168",0.12400851398706436
"169",0.05789083614945412
"170",0.05789083614945412
"171",0.05789083614945412
"172",0.05789083614945412
"173",0.05789083614945412
"174",0.05789083614945412
"175",0.05789083614945412
"176",0.05789083614945412
"177",0.05789083614945412
"178",0.05789083614945412
"179",0.05789083614945412
"180",0.05789083614945412
"181",0.05789083614945412
"182",0.05789083614945412
"183",0.05789083614945412
"184",0.05789083614945412
"185",0.05789083614945412
"186",0.05789083614945412
"187",0.05789083614945412
"188",0.05789083614945412
"189",0.05789083614945412
"190",0.05789083614945412
"191",0.05789083614945412
"192",0.05789083614945412
"193",0.26959776878356934
"194",0.2658410966396332
"195",0.24242821335792542
"196",0.2457512468099594
"197",0.2563379108905792
"198",0.24508507549762726
"199",0.2479092925786972
"200",0.2388245016336441
"201",0.261822372674942
"202",0.2383294403553009
"203",0.2778487503528595
"204",0.23614990711212158
"205",0.2773728668689728
"206",0.2669772207736969
"207",0.2946624755859375
"208",0.25432288646698
"209",0.24291135370731354
"210",0.2518210709095001
"211",0.2744362950325012
"212",0.2838272452354431
"213",0.24571488797664642
"214",0.3140031099319458
"215",0.30530107021331787
"216",0.25319552421569824
"217",0.07428992539644241
"218",0.0731934905052185
"219",0.11037915199995041
"220",0.07768024504184723
"221",0.0877394750714302
"222",0.06840410083532333
"223",0.07000961154699326
"224",0.06978420913219452
"225",0.0820590928196907
"226",0.06843031197786331
"227",0.07428992539644241
"228",0.06978420913219452
"229",0.08357603847980499
"230",0.07000961154699326
"231",0.09167670458555222
"232",0.09593497961759567
"233",0.0661325603723526
"234",0.08357618004083633
"235",0.08288537710905075
