"","p0q0"
"1",0.23266437649726868
"2",0.2318422943353653
"3",0.23239049315452576
"4",0.21653124690055847
"5",0.230887770652771
"6",0.20112980902194977
"7",0.21039438247680664
"8",0.2022968977689743
"9",0.23445092141628265
"10",0.212137371301651
"11",0.2318422943353653
"12",0.21470938622951508
"13",0.2358698695898056
"14",0.23391039669513702
"15",0.22400185465812683
"16",0.21944507956504822
"17",0.19883176684379578
"18",0.2206476628780365
"19",0.23639626801013947
"20",0.21296639740467072
"21",0.2022968977689743
"22",0.21039438247680664
"23",0.23334501683712006
"24",0.247402623295784
"25",0.2655416429042816
"26",0.25424787402153015
"27",0.27709224820137024
"28",0.24479667842388153
"29",0.2631653845310211
"30",0.2400716245174408
"31",0.25150546431541443
"32",0.23793181777000427
"33",0.2682226598262787
"34",0.24496985971927643
"35",0.2607131600379944
"36",0.2372923344373703
"37",0.2661961317062378
"38",0.27313435077667236
"39",0.2596515119075775
"40",0.23414283990859985
"41",0.2382401078939438
"42",0.2525304853916168
"43",0.27357152104377747
"44",0.261101633310318
"45",0.24431098997592926
"46",0.2797621190547943
"47",0.28436270356178284
"48",0.2793291509151459
"49",0.27253812551498413
"50",0.255791038274765
"51",0.26807600259780884
"52",0.27872997522354126
"53",0.25700339674949646
"54",0.24048574268817902
"55",0.26793599128723145
"56",0.2405354380607605
"57",0.274965763092041
"58",0.27472785115242004
"59",0.2607029974460602
"60",0.2533797025680542
"61",0.2793474495410919
"62",0.27002331614494324
"63",0.3299461305141449
"64",0.25658372044563293
"65",0.2651365101337433
"66",0.25335386395454407
"67",0.26271045207977295
"68",0.26495346426963806
"69",0.2604418098926544
"70",0.30183032155036926
"71",0.30072838068008423
"72",0.27963557839393616
"73",0.25340867042541504
"74",0.2398987114429474
"75",0.25399884581565857
"76",0.23407012224197388
"77",0.2398987114429474
"78",0.21557912230491638
"79",0.22950342297554016
"80",0.2169514149427414
"81",0.2365114837884903
"82",0.2321285754442215
"83",0.2413613200187683
"84",0.22069992125034332
"85",0.2394343614578247
"86",0.2547067105770111
"87",0.2408633530139923
"88",0.22069992125034332
"89",0.21934637427330017
"90",0.23580467700958252
"91",0.2550172209739685
"92",0.23255489766597748
"93",0.22264166176319122
"94",0.2302309274673462
