"","p0q0"
"1",0.24517004191875458
"2",0.237432599067688
"3",0.24450424313545227
"4",0.20934447646141052
"5",0.23779268562793732
"6",0.19798555970191956
"7",0.2106679528951645
"8",0.2048019915819168
"9",0.22888915240764618
"10",0.20576119422912598
"11",0.23186972737312317
"12",0.20455394685268402
"13",0.22572678327560425
"14",0.23763172328472137
"15",0.22115717828273773
"16",0.20596571266651154
"17",0.19974495470523834
"18",0.2171929031610489
"19",0.24414515495300293
"20",0.21229775249958038
"21",0.20416021347045898
"22",0.20974618196487427
"23",0.24496664106845856
"24",0.2565288245677948
"25",0.2702782452106476
"26",0.2633068263530731
"27",0.2715158462524414
"28",0.2488912045955658
"29",0.26923009753227234
"30",0.2355727106332779
"31",0.2497497797012329
"32",0.23570655286312103
"33",0.27491050958633423
"34",0.24982412159442902
"35",0.26429155468940735
"36",0.23895263671875
"37",0.26798951625823975
"38",0.2725156843662262
"39",0.2676205635070801
"40",0.23978465795516968
"41",0.23780162632465363
"42",0.2639995217323303
"43",0.2698521316051483
"44",0.28122055530548096
"45",0.24440906941890717
"46",0.2764433026313782
"47",0.286603182554245
"48",0.28425779938697815
"49",0.2755439281463623
"50",0.2612321674823761
"51",0.26017701625823975
"52",0.2558029890060425
"53",0.26583200693130493
"54",0.23077958822250366
"55",0.2596889138221741
"56",0.22802814841270447
"57",0.28230711817741394
"58",0.25330841541290283
"59",0.2776852548122406
"60",0.24393071234226227
"61",0.2846168875694275
"62",0.2721632719039917
"63",0.3064093291759491
"64",0.24206268787384033
"65",0.24858757853507996
"66",0.2594570517539978
"67",0.2796740233898163
"68",0.28349918127059937
"69",0.24578918516635895
"70",0.3268817365169525
"71",0.295070081949234
"72",0.2723328173160553
"73",0.25270816683769226
"74",0.24549610912799835
"75",0.24769823253154755
"76",0.23038828372955322
"77",0.24500121176242828
"78",0.2281011939048767
"79",0.2325119823217392
"80",0.21710918843746185
"81",0.24232396483421326
"82",0.23217040300369263
"83",0.24477046728134155
"84",0.22619634866714478
"85",0.24948905408382416
"86",0.2536042332649231
"87",0.245759055018425
"88",0.226591557264328
"89",0.2265743762254715
"90",0.239098459482193
"91",0.25370919704437256
"92",0.24053464829921722
"93",0.2273855209350586
"94",0.23342134058475494
"95",0.2528843283653259
"96",0.26736560463905334
"97",0.22413872182369232
"98",0.21965518593788147
"99",0.2296489030122757
"100",0.2093832939863205
"101",0.22522255778312683
"102",0.20111709833145142
"103",0.1972828358411789
"104",0.1887778788805008
"105",0.21850334107875824
"106",0.19780991971492767
"107",0.21951924264431
"108",0.2077820897102356
"109",0.21760490536689758
"110",0.2163359522819519
"111",0.21696063876152039
"112",0.21371737122535706
"113",0.19272106885910034
"114",0.21215616166591644
"115",0.22550807893276215
"116",0.20177726447582245
"117",0.18720614910125732
"118",0.19675931334495544
"119",0.21616563200950623
"120",0.22422435879707336
"121",0.17209577560424805
"122",0.15714000165462494
"123",0.17662064731121063
"124",0.14728394150733948
"125",0.16627489030361176
"126",0.1440545916557312
"127",0.13623158633708954
"128",0.13112705945968628
"129",0.16669109463691711
"130",0.14712399244308472
"131",0.15661506354808807
"132",0.14710330963134766
"133",0.15591034293174744
"134",0.14741593599319458
"135",0.14812801778316498
"136",0.15848775207996368
"137",0.14024189114570618
"138",0.15657155215740204
"139",0.1519097238779068
"140",0.14495128393173218
"141",0.13618625700473785
"142",0.13374708592891693
"143",0.1529998481273651
"144",0.15469342470169067
"145",0.11747245490550995
"146",0.11321720480918884
"147",0.14557357132434845
"148",0.10824260115623474
"149",0.13009490072727203
"150",0.10097889602184296
"151",0.10187187790870667
"152",0.09831245988607407
"153",0.1199866533279419
"154",0.10628914833068848
"155",0.11296718567609787
"156",0.1033109799027443
"157",0.11622897535562515
"158",0.10904902964830399
"159",0.11594793945550919
"160",0.12192394584417343
"161",0.09870291501283646
"162",0.12053611129522324
"163",0.11888093501329422
"164",0.11007149517536163
"165",0.09547890722751617
"166",0.09260480105876923
"167",0.11627525836229324
"168",0.12338293343782425
"169",0.046277258545160294
"170",0.046277258545160294
"171",0.046277258545160294
"172",0.046277258545160294
"173",0.046277258545160294
"174",0.046277258545160294
"175",0.046277258545160294
"176",0.046277258545160294
"177",0.046277258545160294
"178",0.046277258545160294
"179",0.046277258545160294
"180",0.046277258545160294
"181",0.046277258545160294
"182",0.046277258545160294
"183",0.046277258545160294
"184",0.046277258545160294
"185",0.046277258545160294
"186",0.046277258545160294
"187",0.046277258545160294
"188",0.046277258545160294
"189",0.046277258545160294
"190",0.046277258545160294
"191",0.046277258545160294
"192",0.046277258545160294
"193",0.27058857679367065
"194",0.2610628604888916
"195",0.24644289910793304
"196",0.24814675748348236
"197",0.2599683701992035
"198",0.23543395102024078
"199",0.25021421909332275
"200",0.22846892476081848
"201",0.26814937591552734
"202",0.23482920229434967
"203",0.26991474628448486
"204",0.23597027361392975
"205",0.2796449661254883
"206",0.264898419380188
"207",0.2873183488845825
"208",0.2473812848329544
"209",0.23529376089572906
"210",0.24898876249790192
"211",0.27467215061187744
"212",0.2865900695323944
"213",0.2319449633359909
"214",0.30152010917663574
"215",0.2953868806362152
"216",0.2568584680557251
"217",0.075893834233284
"218",0.07424280047416687
"219",0.1161213293671608
"220",0.07758262753486633
"221",0.09192746132612228
"222",0.06759920716285706
"223",0.07283090800046921
"224",0.06794162839651108
"225",0.0855954959988594
"226",0.06704343855381012
"227",0.075893834233284
"228",0.06794162839651108
"229",0.0852244645357132
"230",0.07283090800046921
"231",0.10117316246032715
"232",0.10410913825035095
"233",0.06725402176380157
"234",0.08804520219564438
"235",0.08472631126642227
"236",0.07283090800046921
"237",0.05795847997069359
"238",0.05930900201201439
"239",0.08481565862894058
"240",0.08770982176065445
"241",0.09940359741449356
"242",0.09472733736038208
"243",0.1274837702512741
"244",0.095928855240345
"245",0.11094322800636292
"246",0.0884130597114563
"247",0.09123958647251129
"248",0.08784208446741104
"249",0.10341913253068924
"250",0.08780395239591599
"251",0.09577109664678574
"252",0.0885498896241188
"253",0.1030854731798172
"254",0.09449952095746994
"255",0.10988104343414307
"256",0.1128617376089096
"257",0.08831875771284103
"258",0.1038363128900528
"259",0.10282125324010849
"260",0.09547415375709534
"261",0.08236069977283478
"262",0.08217718452215195
"263",0.10283190757036209
"264",0.1060275062918663
"265",0.41161367297172546
"266",0.2855342924594879
"267",0.37225595116615295
"268",0.3261123597621918
"269",0.301695853471756
"270",0.26405099034309387
"271",0.29125654697418213
"272",0.30715689063072205
"273",0.3041554093360901
"274",0.29179397225379944
"275",0.28235089778900146
"276",0.3882655203342438
"277",0.2904662787914276
"278",0.3155321776866913
"279",0.2982247769832611
"280",0.2741212546825409
"281",0.28586119413375854
"282",0.2642126977443695
"283",0.3179362118244171
"284",0.27966487407684326
"285",0.3201793432235718
"286",0.28445306420326233
"287",0.2961430847644806
"288",0.3143264055252075
"289",0.3460800051689148
"290",0.4425134062767029
"291",0.28245025873184204
"292",0.39960941672325134
"293",0.3362801671028137
"294",0.4232226312160492
"295",0.3931460678577423
"296",0.36034539341926575
"297",0.30643394589424133
"298",0.40220141410827637
"299",0.36275869607925415
"300",0.38136687874794006
"301",0.331267774105072
"302",0.3233676552772522
"303",0.42654502391815186
"304",0.34952157735824585
"305",0.41171377897262573
"306",0.35518398880958557
"307",0.32829344272613525
"308",0.32150402665138245
"309",0.2993241548538208
"310",0.385002464056015
"311",0.3199976980686188
"312",0.38577762246131897
"313",0.37112700939178467
"314",0.34474167227745056
"315",0.3768272399902344
"316",0.39353951811790466
"317",0.47681504487991333
"318",0.3336811065673828
"319",0.37354689836502075
"320",0.295926570892334
"321",0.4504810869693756
"322",0.45316600799560547
"323",0.35542625188827515
"324",0.2970592975616455
"325",0.49277210235595703
"326",0.4013601839542389
"327",0.3783245384693146
"328",0.3304256498813629
"329",0.310543030500412
"330",0.42521846294403076
"331",0.33375269174575806
"332",0.40508273243904114
"333",0.36578693985939026
"334",0.3268916606903076
"335",0.32903680205345154
"336",0.31713002920150757
"337",0.3678385317325592
"338",0.3420388698577881
"339",0.3871070444583893
"340",0.3329280912876129
"341",0.36853328347206116
"342",0.35860973596572876
"343",0.3965291678905487
"344",0.48661112785339355
"345",0.35487937927246094
"346",0.36703839898109436
"347",0.2962641716003418
"348",0.3659955859184265
"349",0.34692275524139404
"350",0.3024594187736511
"351",0.261404424905777
"352",0.32091593742370605
"353",0.3162061274051666
"354",0.31087368726730347
"355",0.3018771708011627
"356",0.31982025504112244
"357",0.40735161304473877
"358",0.3150521516799927
"359",0.32925930619239807
"360",0.3123498857021332
"361",0.24738124012947083
"362",0.27451497316360474
"363",0.2647511661052704
"364",0.34178316593170166
"365",0.2866169214248657
"366",0.30974656343460083
"367",0.3243253231048584
"368",0.29065507650375366
"369",0.3165314197540283
"370",0.3448747992515564
"371",0.40586143732070923
"372",0.3025616407394409
"373",0.35959136486053467
"374",0.3169994056224823
"375",0.32867109775543213
"376",0.2777298092842102
"377",0.28632423281669617
"378",0.2271542102098465
"379",0.2698117196559906
"380",0.27402833104133606
"381",0.2855212092399597
"382",0.2606932818889618
"383",0.2610794007778168
"384",0.37777969241142273
"385",0.28415241837501526
"386",0.2906052768230438
"387",0.2805843949317932
"388",0.23408082127571106
"389",0.25076577067375183
"390",0.22995612025260925
"391",0.2952055037021637
"392",0.25965020060539246
"393",0.28267985582351685
"394",0.2573733925819397
"395",0.2657146155834198
"396",0.2929345667362213
"397",0.3022848069667816
"398",0.3979591429233551
"399",0.25605466961860657
"400",0.2751549482345581
"401",0.2593194246292114
"402",0.2185334861278534
"403",0.1866091638803482
"404",0.21657943725585938
"405",0.15984266996383667
"406",0.198696568608284
"407",0.19547683000564575
"408",0.19390620291233063
"409",0.18732228875160217
"410",0.19583676755428314
"411",0.2121550291776657
"412",0.1944546103477478
"413",0.19467052817344666
"414",0.19572728872299194
"415",0.17612576484680176
"416",0.18808498978614807
"417",0.15918344259262085
"418",0.19697433710098267
"419",0.18063287436962128
"420",0.19646824896335602
"421",0.1869291365146637
"422",0.1981135606765747
"423",0.18567882478237152
"424",0.2154625654220581
"425",0.29678019881248474
"426",0.17461828887462616
"427",0.2103605568408966
"428",0.1929997205734253
"429",0.1576351821422577
"430",0.13760988414287567
"431",0.16120529174804688
"432",0.1096409261226654
"433",0.13195571303367615
